hashtag_H   cluster_C_leader(userID)   relative_frequency_H_C  frequency_H_in_C  frequency_H_overall   count_H_in_C   count_hashtags_in_C   count_H_entire_dataset    count_hashtags_entire_dataset
HandsOffHitler	1046608631968538624	3296.67857	.92307	.00028	12	13	21	73477
HandsOffHitler	1046608631968538624	3296.67857	.92307	.00028	12	13	21	73477
HandsOffHitler	1046608631968538624	3296.67857	.92307	.00028	12	13	21	73477
HandsOffHitler	1046608631968538624	3296.67857	.92307	.00028	12	13	21	73477
HandsOffHitler	1046608631968538624	3296.67857	.92307	.00028	12	13	21	73477
StopKissinger	1046608631968538624	7692.00000	.07692	.00001	1	13	1	73477
HandsOffHitler	1046608631968538624	3296.67857	.92307	.00028	12	13	21	73477
HandsOffHitler	1046608631968538624	3296.67857	.92307	.00028	12	13	21	73477
allergy	105433445	6250.00000	.06250	.00001	1	16	1	73477
Benadryl	105433445	6250.00000	.06250	.00001	1	16	1	73477
SideEffects	105433445	6250.00000	.06250	.00001	1	16	1	73477
Kindness	105433445	390.62500	.06250	.00016	1	16	12	73477
KindnessMatters	105433445	480.76923	.06250	.00013	1	16	10	73477
MaskMandates	105433445	195.31250	.06250	.00032	1	16	24	73477
CovidIsNotOver	105433445	25.40650	.06250	.00246	1	16	181	73477
COVIDisAirborne	105433445	13.52813	.06250	.00462	1	16	340	73477
MaskUp	105433445	29.48113	.06250	.00212	1	16	156	73477
IStandWithUkraine	105433445	49.60317	.06250	.00126	1	16	93	73477
PutinIsaWarCriminal	105433445	77.16049	.06250	.00081	1	16	60	73477
PutinPuppet	105433445	1562.50000	.06250	.00004	1	16	3	73477
LeMMMMMMSnow	105433445	1041.66666	.06250	.00006	1	16	5	73477
Perth	105433445	390.62500	.06250	.00016	1	16	12	73477
Ontario	105433445	24.60629	.06250	.00254	1	16	187	73477
PerthBlizzard	105433445	6250.00000	.06250	.00001	1	16	1	73477
OlympicGames	1060751816	555.55555	.05000	.00009	1	20	7	73477
GOLD	1060751816	238.09523	.05000	.00021	1	20	16	73477
IceHockey	1060751816	625.00000	.05000	.00008	1	20	6	73477
CANADA	1060751816	22.32142	.05000	.00224	1	20	165	73477
Valieva	1060751816	5000.00000	.05000	.00001	1	20	1	73477
Gold	1060751816	238.09523	.05000	.00021	1	20	16	73477
ROC	1060751816	1250.00000	.10000	.00008	2	20	6	73477
doping	1060751816	1250.00000	.05000	.00004	1	20	3	73477
ROC	1060751816	1250.00000	.10000	.00008	2	20	6	73477
Russia	1060751816	3.22372	.05000	.01551	1	20	1140	73477
KamilaValieva	1060751816	2500.00000	.05000	.00002	1	20	2	73477
