hashtag_H   cluster_C_leader(userID)   relative_frequency_H_C  frequency_H_in_C  frequency_H_overall   count_H_in_C   count_hashtags_in_C   count_H_entire_dataset    count_hashtags_entire_dataset
Ukraine	1222084828100775945	8.15187	.33333	.04089	1	3	3005	73477
UkraineRussiaWar	1222084828100775945	183.14835	.33333	.00182	1	3	134	73477
UkraineRussia	1222084828100775945	1190.46428	.33333	.00028	1	3	21	73477
Ukraine	1222773302441148416	24.45585	1.00000	.04089	1	1	3005	73477
BrexitDisaster	12321952	2941.17647	.50000	.00017	1	2	13	73477
BrexitReality	12321952	2000.00000	.50000	.00025	1	2	19	73477
Putin	123281100	86.35578	.50000	.00579	1	2	426	73477
Biden	123281100	909.09090	.50000	.00055	1	2	41	73477
Ukraine	123581921	24.45585	1.00000	.04089	1	1	3005	73477
auspol	1238370241169616897	95.78544	.50000	.00522	1	2	384	73477
insiders	1238370241169616897	285.71428	.50000	.00175	1	2	129	73477
Mariupol	1238583088998830081	204.91803	1.00000	.00488	1	1	359	73477
COVID	1239004332206546949	81.69934	.50000	.00612	1	2	450	73477
COVID19	1239004332206546949	18.98974	.50000	.02633	1	2	1935	73477
Ukraine	1242358474568347648	12.22792	.50000	.04089	1	2	3005	73477
StandWithUkraine	1242358474568347648	41.87604	.50000	.01194	1	2	878	73477
DefeatPutin	1243560408025198593	7142.85714	1.00000	.00014	1	1	11	73477
s	1244198220366000128	7692.30769	1.00000	.00013	1	1	10	73477
RandomThoughts	1244795359097958401	25000.00000	1.00000	.00004	1	1	3	73477
LongCOVID	1252988129708929024	55.80357	1.00000	.01792	1	1	1317	73477
Brexit	1254707039500144640	574.71264	1.00000	.00174	1	1	128	73477
Ukraine	126042283	24.45585	1.00000	.04089	1	1	3005	73477
StandWithUkraine	1260515654811242498	83.75209	1.00000	.01194	1	1	878	73477
COVID19	1266474230	37.97949	1.00000	.02633	1	1	1935	73477
Ukrainian	127290914	141.64305	.50000	.00353	1	2	260	73477
Ukraine	127290914	12.22792	.50000	.04089	1	2	3005	73477
StopTheTransmission	1274450883460255745		.50000		1	2		73477
